koordinate_merenjastanica,North,East,H,mmperm2
Korbovo,44.5238889,22.7133333,55,679.4
Korbulic,42.2361111,21.3419444,690,876.9
Koritnik,42.0802778,20.5619444,2395,1400
Kosjeric,43.9944444,19.9155556,430,781.7
Kosovica,43.4927778,20.2155556,830,906.4
KosovskaMitrovica,42.8883333,20.8791667,510,624
Kostadince,42.6297222,21.6152778,860,685
Kostojevici,44.0072222,19.6925,300,824.7
Kostolac,44.735,21.2011111,115,671.1
Koötunic,44.0713889,20.2002778,580,832.8
Kotlenik,43.8433333,20.6838889,749,820
Kotlina,42.175,21.2361111,825,837.6
Kovacica,45.1130556,20.6277778,80,604.6
Kovilj,45.2352778,20.0541667,80,616.8
Koviljaca,44.5147222,19.1913889,180,862.8
Kovilovo,44.1022222,22.6097222,85,670.2
Kovin,44.7422222,20.9830556,81,653
Kozjak,44.5866667,19.2888889,120,855.3
Kragujevac,44.0119444,20.9175,175,649
Krajiönik,45.4530556,20.7333333,80,628.1
Krajmirovce,42.4861111,20.9358333,650,776.1
KrajniDel,42.6058333,21.7086111,915,688
Kraljevo,43.7258333,20.6980556,219,763
Krasmirovac,42.7247222,20.9333333,820,767.3
Krcedin,45.14,20.1386111,115,601.4
Kremna,43.8294444,19.5713889,920,1011.2
Krepoljin,44.2586111,21.6077778,240,810.9
Kreûbinac,43.7941667,21.45,160,654.6
KrivaFeja,42.5586111,22.1797222,1150,995.3
KrivaReka(Brus),43.3675,20.8813889,1170,928.4
KrivaReka(Kolub.),44.1208333,20.4016667,310,739.9
Krivelj,44.1208333,22.13,330,790
KriviVir,43.8227778,21.7536111,420,692.9
Krnjevo,44.4052778,21.0511111,115,616.3
Krpimej,42.9922222,21.1483333,680,688
Krupac,43.1205556,22.6797222,405,636.6
Krupaja,44.1722222,21.5869444,255,799.8
Krupanj,44.3655556,19.3672222,280,912.9
Kruöar,44.0144444,21.3441667,120,669
Kruöcic,45.6152778,19.3644444,85,590.7
Kruöcica,43.6888889,19.9794444,650,922.2
Kruöevac,43.5825,21.3325,166,634.7
Kruöevica(Vlasina),42.9816667,22.2008333,300,787.5
Kucevo,44.4763889,21.6763889,170,775
Kuciöte(Pec),42.6941667,20.0819444,1115,1047
Kucura,45.52,19.5941667,85,584.4
Kukavica(Vlajna),42.7908333,21.9519444,1442,938
Kukujevci,45.0705556,19.3466667,90,654
Kula,45.6141667,19.5208333,85,577.2
Kumane,45.5377778,20.2341667,80,563.5
Kupci,43.4552778,21.2386111,245,720.7
Kupinovo,44.7108333,20.0808333,75,610
Kupusina,45.7413889,19.025,85,613.1
Kuröumlija,43.1388889,21.2791667,380,649
Kusadak,44.4033333,20.8177778,160,659.2
Kuöici,43.4836111,20.1044444,910,963.6
Kuöiljevo,44.2855556,21.2163889,100,649.2
Kuönin,42.2752778,20.5427778,405,795
Kuötilj,45.035,21.3847222,90,724.1
Lajkovac,44.3702778,20.1686111,120,692.1
Lalinac,43.4436111,22.0255556,430,654.3
LapljeSelo,42.5963889,21.1461111,560,666.5
LapovoVaroö,44.1830556,21.1013889,130,682.4
Lazarevac,44.3894444,20.2958333,140,763.2
Lazarevo,45.3844444,20.545,80,602.1
Lebane,42.9175,21.7422222,280,697
Lenovac,43.8047222,22.17,300,688.7
Leposavic,43.1041667,20.81,540,603.5
Leöak,43.1669444,20.7566667,450,618.6
Leskovac,42.995,21.9563889,224,610
Leûimir,45.1233333,19.5758333,200,732.9
Lipar,45.7055556,19.5597222,115,556.4
Lipljan,42.525,21.1263889,550,611.9
Lipolist,44.6980556,19.5063889,92,776.3
Lipovac,42.3105556,20.4822222,441,1012.8
Lipovica,42.7627778,21.7336111,900,963.9
Ljig,44.2205556,20.2444444,150,810.1
Ljuba,45.1511111,19.4241667,220,730
Ljubiö,43.6180556,19.8619444,820,1006.3
Ljuboten,42.2063889,21.1244444,2498,1465
Ljubovija,44.1883333,19.3772222,190,923
Ljutice,44.0161111,20.0238889,665,746.5
Ljutoglava,42.2738889,20.7922222,400,773.6
Loboder,43.7236111,20.9608333,630,797.1
Locika,43.4380556,21.7038889,195,647.8
Lopuûnje(N.Pazar),43.0991667,20.6447222,990,782.2
Lovcenac,45.6822222,19.6969444,100,543.1
Loznica,44.5341667,19.2294444,147,821
Lukovac,44.3166667,19.9841667,200,784.2
Lukovo(Boljevac),43.8041667,21.8430556,345,791
Lukovo(Kuröum.),43.1722222,21.0491667,580,927.6
Mackatica(sk.),42.7525,22.195,850,873.7
MacvanskiPricinovicc,44.8483333,19.6394444,80,644.5
Majdanpek,44.4269444,21.9386111,340,840
Majinovici,44.2802778,19.7322222,310,901
MalaBosna,46.0413889,19.5766667,120,550.2
MalaKrsna,44.585,21.0158333,85,656
MalePijace,46.1119444,19.9211111,105,538.8
MaliDrenovac,43.4572222,21.6797222,240,618.3
MaliPoûaraevac,44.5630556,20.6594444,170,648.7
MaliStapar,45.6997222,19.3258333,90,582.3
MaliZvornik,44.3966667,19.1172222,160,943.8
Maliöevo,42.4819444,20.7511111,530,684.2
Maljen,44.1188889,20.0277778,1104,930
MaloLaole,44.3202778,21.4702778,165,700.3
Malosiöte,43.2372222,21.8575,195,642.4
Mandelos,45.0838889,19.6005556,140,686.3
Manjinac,43.6655556,22.2025,400,684
Marinovac,43.7436111,22.2152778,440,724.3
